,Name,Type,Episodes,Producers,Licensors,Studios,Source,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Action,Adventure,Cars,Comedy,Dementia,Demons,Drama,Ecchi,Fantasy,Game,Harem,Hentai,Historical,Horror,Josei,Kids,Magic,Martial Arts,Mecha,Military,Music,Mystery,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Space,Sports,Super Power,Supernatural,Thriller,Unknown,Vampire,Yaoi,Yuri,Year,Seconds
45,Oniku Daisuki! Zeushi-kun: Suteki na Hamburger,ONA,1,Unknown,Unknown,DLE,Original,G - All Ages,11344.0,15013,194,0,9,85,3,38,59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,240.0
46,Dokonjou Gaeru,TV,103,Asahi Broadcasting,Unknown,Tokyo Movie Shinsha,Manga,G - All Ages,6280.0,10121,1162,4,102,233,119,179,529,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1972,1500.0
47,Bakuten Shoot Beyblade G Revolution,TV,52,d-rights,"Nelvana, Discotek Media",Madhouse,Manga,PG - Children,3901.0,2598,38585,221,541,33525,606,1181,2732,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2003,1200.0
48,Twinkle World feat. Hatsune Miku,Music,1,Toy's Factory,Unknown,Unknown,Original,G - All Ages,8641.0,14241,243,0,5,201,2,4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,240.0
49,Mogura no Motoro,Movie,1,Unknown,Unknown,Toei Animation,Unknown,G - All Ages,15622.0,14237,241,1,11,53,9,68,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1962,900.0
50,Itoshi no Kotodama,OVA,2,Pink Pineapple,Unknown,Unknown,Unknown,Rx - Hentai,Unknown,10335,1059,0,85,529,45,75,325,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,1800.0
51,Yurumates 3D Plus: Natsuyasumi Maison du Wish Report,OVA,1,Unknown,Unknown,Unknown,Unknown,PG-13 - Teens 13 or older,8010.0,11386,677,0,21,446,12,23,175,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2012,180.0
52,Shouka Robo Zeres: Fire Dragon wo Taose!,OVA,1,Unknown,Unknown,Unknown,Original,G - All Ages,12055.0,16834,96,0,6,17,1,31,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,900.0
53,Tensei shitara Slime Datta Ken,TV,24,"Lantis, BS11, Bandai Namco Arts, Micro Magazine Publishing",Funimation,8bit,Light novel,PG-13 - Teens 13 or older,458.0,117,747190,13023,87721,521775,16259,19470,101965,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018,1380.0
54,Geori-eui Mubeopja,Movie,1,Unknown,Unknown,Unknown,Unknown,Unknown,14118.0,12437,443,1,17,181,12,39,194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,3000.0
55,Kaumori,Movie,1,Unknown,Unknown,Unknown,Original,G - All Ages,9640.0,10081,1184,1,25,919,7,45,188,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1930,600.0
56,Kagaku Bouken-tai Tansar 5,TV,34,Unknown,Unknown,Sunrise,Unknown,PG-13 - Teens 13 or older,14756.0,13440,304,0,21,85,15,64,119,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1979,1440.0
57,Trapp Ikka Monogatari,TV,40,Fuji TV,Unknown,Nippon Animation,Other,G - All Ages,1207.0,6038,5970,23,246,3356,229,207,1932,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,1380.0
58,Ruru-chan no Jisatsu Haishin,Music,1,Warner Music Japan,Unknown,Unknown,Original,PG-13 - Teens 13 or older,2105.0,10660,911,14,8,822,4,5,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,240.0
59,Gu-Gu Ganmo (Movie),Movie,1,Unknown,Unknown,Toei Animation,Manga,PG - Children,14200.0,14550,222,0,12,77,5,45,83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,2700.0
